Winner,White_Weighted_Value,Black_Weighted_Value,White_Centre_Weighted_Value,Black_Centre_Weighted_Value,White_King_Safety,Black_King_Safety,White_Piece_Count,Black_Piece_Count,White_Center_Piece_Count,Black_Center_Piece_Count,White_Opponent_Moves,Black_Opponent_Moves,White_Rook_Positions,White_Queen_Positions,White_Knight_Positions,White_King_Positions,White_Bishop_Positions,Black_Rook_Positions,Black_Queen_Positions,Black_Knight_Positions,Black_King_Positions,Black_Bishop_Positions
Black,18,18,4,2,N,N,10,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,15,15,6,2,Y,N,9,9,2,1,0,0,0,0,0,0,0,6,6,0,6,6
Black,26,26,3,1,N,Y,15,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,4,4,3,2,Y,N,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,13,13,8,4,Y,N,9,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0
White,22,22,6,6,Y,N,13,13,2,4,0,0,2,0,2,0,2,16,0,7,9,9
Black,23,23,5,2,N,Y,13,13,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,18,17,11,0,Y,N,10,9,5,0,0,0,0,6,0,6,6,12,6,0,6,0
White,7,6,0,3,Y,N,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
White,14,15,6,7,Y,N,8,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,21,2,4,N,Y,11,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,18,5,2,N,Y,9,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,14,14,7,3,N,Y,9,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,22,4,3,N,Y,11,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,22,19,5,4,Y,N,12,12,2,3,3,0,3,1,7,0,3,15,0,5,9,6
Black,17,19,2,8,N,Y,9,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0
White,13,11,2,6,Y,N,7,7,1,4,11,0,0,0,0,11,0,12,0,11,1,1
White,17,15,4,4,Y,N,9,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,18,5,4,N,Y,10,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,17,3,2,N,Y,9,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,22,22,5,0,N,N,13,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
White,24,24,5,9,Y,N,14,14,3,4,0,0,0,3,5,0,8,16,3,3,8,5
White,24,24,11,8,Y,N,14,14,6,4,0,0,0,0,6,6,0,0,0,12,0,6
Black,8,8,2,4,N,Y,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
White,25,25,3,4,Y,N,15,15,3,3,0,0,3,5,0,0,6,13,8,5,5,7
White,16,16,0,4,Y,N,9,10,0,3,0,0,2,6,0,0,0,7,9,4,9,0
Black,16,16,7,5,N,Y,9,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,11,12,0,5,N,Y,6,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,24,24,7,11,N,Y,14,14,5,6,0,0,0,0,0,0,0,0,0,0,0,0
Black,26,26,4,6,N,Y,15,15,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,19,4,5,N,N,9,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,25,25,6,9,N,Y,15,15,5,6,0,0,0,0,0,0,0,0,0,0,0,0
White,25,24,8,3,Y,N,15,14,4,2,0,0,3,3,0,0,3,19,8,19,8,8
White,20,20,5,8,Y,N,11,12,3,4,0,0,0,0,0,0,1,2,1,0,1,0
Black,6,6,4,4,N,Y,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,22,22,5,2,N,Y,13,13,4,2,0,0,0,0,0,0,0,0,0,0,0,0
White,21,21,7,5,Y,N,12,12,3,3,0,0,8,7,15,8,0,14,15,8,15,0
Black,7,8,5,1,N,Y,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0
White,13,12,5,1,Y,N,9,8,3,1,0,0,6,0,0,0,0,12,0,0,6,0
White,10,9,4,3,Y,N,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
White,19,19,6,5,Y,N,11,11,3,3,0,0,8,6,0,0,0,8,2,0,8,0
Black,23,23,5,1,N,Y,13,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0
White,14,13,0,7,Y,N,9,8,0,4,0,0,8,0,0,0,8,17,0,8,1,0
Black,25,25,4,4,N,Y,15,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,16,4,3,N,Y,8,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,19,19,7,3,Y,N,10,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,21,8,6,N,Y,12,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,7,7,1,2,Y,N,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
White,25,22,0,5,Y,N,14,13,0,3,0,0,0,2,8,2,2,6,7,10,6,11
White,19,18,2,7,Y,N,10,11,2,5,4,0,4,4,0,4,4,5,4,14,9,0
White,24,24,3,2,Y,N,14,14,2,2,2,0,2,2,0,0,15,24,13,5,11,14
White,21,21,10,2,Y,N,12,12,5,1,4,0,4,4,4,4,0,12,10,4,6,6
White,16,15,8,4,Y,N,9,7,3,1,5,0,0,5,5,5,5,5,5,0,0,5
Black,21,21,8,6,N,Y,12,12,5,3,0,0,0,0,0,0,0,0,0,0,0,0
White,24,24,3,1,Y,N,14,14,2,1,1,0,1,1,0,0,6,13,7,7,6,13
White,12,12,4,6,Y,N,8,8,2,4,0,0,9,0,0,0,0,18,0,0,0,0
White,15,15,6,0,Y,N,8,7,3,0,0,0,0,0,0,0,0,8,8,0,8,0
White,26,25,3,8,Y,N,15,14,2,5,0,0,2,7,0,0,0,12,7,2,7,9
White,7,7,0,2,Y,N,4,5,0,2,0,0,6,0,0,0,0,2,0,0,2,0
White,20,20,3,5,Y,N,11,11,2,2,1,0,1,0,0,7,12,35,7,18,17,11
Black,11,14,1,2,N,Y,6,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0
White,16,16,4,5,N,N,9,9,1,2,1,0,1,0,0,0,0,2,0,0,0,0
Black,21,22,3,4,N,Y,12,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,9,9,3,3,N,Y,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,21,5,4,N,Y,12,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0
White,19,18,1,5,Y,N,11,10,1,2,0,0,0,3,0,2,0,6,3,5,5,0
Black,15,15,3,5,N,Y,9,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,7,7,2,2,Y,N,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,12,11,1,5,Y,N,8,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,18,0,9,N,Y,9,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,15,0,2,N,N,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,14,15,7,4,N,Y,9,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,21,9,5,N,Y,11,12,4,2,0,0,0,0,0,0,0,0,0,0,0,0
White,18,19,3,4,Y,N,10,11,2,3,0,0,8,8,0,0,0,16,0,0,8,0
Black,14,14,4,4,N,N,8,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
White,19,19,6,3,N,N,12,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,17,6,3,N,Y,8,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,27,27,11,5,Y,N,16,16,7,4,2,0,2,2,2,0,12,20,9,14,9,10
Black,8,8,4,6,N,Y,7,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0
White,4,4,3,1,Y,N,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
White,19,18,3,8,N,N,11,11,3,4,0,0,0,0,3,0,0,3,0,6,0,0
Black,6,6,2,2,N,Y,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,20,1,4,N,Y,10,11,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,15,17,0,7,N,Y,8,11,0,3,0,0,0,6,0,0,0,0,0,0,6,0
White,21,21,5,3,Y,N,12,12,2,2,0,0,0,3,0,0,8,16,8,0,8,3
Black,18,18,8,3,N,Y,11,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0
White,15,14,4,6,Y,N,10,9,3,3,0,0,0,0,5,0,0,5,0,0,5,0
White,13,15,6,1,Y,N,8,9,3,1,0,0,2,2,0,0,0,2,0,0,2,0
White,16,14,8,2,N,N,10,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0
White,23,22,7,7,Y,N,13,13,5,5,0,0,6,6,12,0,0,6,3,9,0,12
Black,17,16,3,2,N,Y,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,21,5,4,N,Y,12,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,4,5,3,4,N,Y,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,23,0,6,N,Y,12,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0
White,20,20,5,4,Y,N,11,11,3,3,0,0,4,4,4,4,8,4,0,4,8,8
White,23,23,5,2,Y,N,13,13,3,1,4,0,0,11,18,0,7,14,11,11,11,4
